ID,child_mean_cum_coh_sif,child_max_cum_coh_sif,child_min_cum_coh_sif,child_mean_cum_coh_bert,child_max_cum_coh_bert,child_min_cum_coh_bert,child_mean_cum_coh_elmo,child_max_cum_coh_elmo,child_min_cum_coh_elmo,chair_mean_cum_coh_sif,chair_max_cum_coh_sif,chair_min_cum_coh_sif,chair_mean_cum_coh_bert,chair_max_cum_coh_bert,chair_min_cum_coh_bert,chair_mean_cum_coh_elmo,chair_max_cum_coh_elmo,chair_min_cum_coh_elmo,gift_mean_cum_coh_sif,gift_max_cum_coh_sif,gift_min_cum_coh_sif,gift_mean_cum_coh_bert,gift_max_cum_coh_bert,gift_min_cum_coh_bert,gift_mean_cum_coh_elmo,gift_max_cum_coh_elmo,gift_min_cum_coh_elmo,suit_mean_cum_coh_sif,suit_max_cum_coh_sif,suit_min_cum_coh_sif,suit_mean_cum_coh_bert,suit_max_cum_coh_bert,suit_min_cum_coh_bert,suit_mean_cum_coh_elmo,suit_max_cum_coh_elmo,suit_min_cum_coh_elmo
H11,-0.1546839302669388,0.32700451413837,-0.406306247883533,0.7100089192390442,0.8146581649780273,0.646388828754425,0.26619067788124084,0.6389960646629333,0.07870149612426758,-0.12937737648802108,0.26307668326278655,-0.3142374336170387,0.6968860030174255,0.8550620675086975,0.5663726925849915,0.28142598271369934,0.3760474920272827,0.1389070302248001,-0.20482920624400336,0.058191752177850616,-0.37284790055764716,0.7238584756851196,0.8529726266860962,0.6282787919044495,0.34782058000564575,0.4935672879219055,0.26151859760284424,-0.1560902499673347,0.1819788564120458,-0.4309592623073552,0.7161546945571899,0.7440357208251953,0.681841254234314,0.32243233919143677,0.44386279582977295,0.2658866345882416
H12,-0.2206546790553139,-0.060764918725432764,-0.3397007808737553,0.7131150960922241,0.8221014738082886,0.5759928226470947,0.20233163237571716,0.45558249950408936,0.059341397136449814,-0.11052031255902396,0.20022950677586426,-0.2680552106763934,0.7249137759208679,0.833003044128418,0.6130598783493042,0.3150692284107208,0.48453447222709656,0.23427484929561615,-0.14749339106791212,0.06948669729449419,-0.2715644029708073,0.6436929702758789,0.796335756778717,0.4353811740875244,0.22027461230754852,0.42409032583236694,0.091387540102005,-0.13224514150173441,0.19229623664470413,-0.32980819423912083,0.6761338114738464,0.7583447098731995,0.4655970633029938,0.3440762460231781,0.5370124578475952,0.16922786831855774
H13,-0.09863187162837185,0.3894280612195612,-0.29246131475604686,0.7787156105041504,0.8545866012573242,0.6462153792381287,0.3611964285373688,0.5774564743041992,0.24860161542892456,-0.06149240929419758,0.14321018679465064,-0.1966153858970238,0.7448906898498535,0.8952392935752869,0.646336555480957,0.4259108006954193,0.7007725834846497,0.20595631003379822,-0.11841707279484717,0.08132791318354204,-0.27537551485605594,0.7246025800704956,0.7843204140663147,0.652896523475647,0.35103633999824524,0.42075711488723755,0.201681450009346,-0.05194292141937821,0.12706011718917481,-0.2753243520504311,0.7591237425804138,0.8358300924301147,0.6765372157096863,0.2484302520751953,0.4485270380973816,0.13636618852615356
H14,-0.04778049515313452,0.3658685373229887,-0.18733104079161916,0.7044392228126526,0.829053521156311,0.5915160775184631,0.2825835943222046,0.5374659895896912,0.10385221242904663,-0.09865412193481361,0.09453711459730638,-0.26608720288484095,0.7169783115386963,0.7882723808288574,0.6431742310523987,0.3570623993873596,0.5072527527809143,0.2418348789215088,-0.0637489476057285,0.12893279877176597,-0.2596929849748056,0.7673068046569824,0.8270736932754517,0.7167083024978638,0.36167943477630615,0.4306468963623047,0.29552531242370605,-0.11334483044490712,0.31217911933359377,-0.24616517323379072,0.7494163513183594,0.8278026580810547,0.6827048659324646,0.31366950273513794,0.4462423026561737,0.2357717901468277
H15,-0.15350587397769883,0.031263319140116166,-0.4113896577258587,0.7308639883995056,0.7923657894134521,0.6719305515289307,0.31683969497680664,0.49626052379608154,0.2065819799900055,-0.11562325290288014,0.3301003003745888,-0.3298493021230203,0.7070276737213135,0.8273335099220276,0.5921935439109802,0.31226846575737,0.5179092288017273,0.10936474055051804,-0.12983957959008802,0.043970262163057446,-0.2657057134998757,0.7166332006454468,0.8501197099685669,0.6306099891662598,0.35713765025138855,0.5099026560783386,0.28552520275115967,-0.19117127652304047,0.10668624207781663,-0.35061100746924945,0.707672119140625,0.7705496549606323,0.6184068322181702,0.34458956122398376,0.4734225571155548,0.20126859843730927
H16,-0.20470206668717855,-0.057686618403782294,-0.34571338439877375,0.6976442337036133,0.7462376952171326,0.6022350192070007,0.23141884803771973,0.4292920231819153,0.11779280751943588,-0.15497475527542098,-0.022964272910040422,-0.34071627326354714,0.7190565466880798,0.788719892501831,0.6539847254753113,0.29766127467155457,0.46491190791130066,0.1550951451063156,-0.13053954418340005,0.02766374545677116,-0.24436216092451934,0.7046137452125549,0.7664512991905212,0.6018041372299194,0.3540897071361542,0.5019915103912354,0.2661482095718384,-0.14744944037871782,0.21012141442558244,-0.31566858702600076,0.7230867147445679,0.808241605758667,0.5918107628822327,0.2950339615345001,0.49479466676712036,0.19942304491996765
H17,-0.22271527278983833,0.0459239852728304,-0.4318585064118042,0.6935806274414062,0.7565326690673828,0.5615506768226624,0.25341907143592834,0.45256736874580383,0.09886789321899414,-0.14569536783580872,0.12948494756499576,-0.29037621689118204,0.72547847032547,0.798462450504303,0.6293722987174988,0.34565889835357666,0.473022997379303,0.11169470846652985,-0.11360660609426441,0.9563183065265839,-0.3266274846617956,0.7046020030975342,0.8864868879318237,0.6224432587623596,0.3465811312198639,0.61203932762146,0.23487251996994019,-0.22164663305571763,-0.019386884014363233,-0.37595328181109977,0.6912862658500671,0.8062397837638855,0.5815469622612,0.23674115538597107,0.38241586089134216,0.12456893920898438
H18,-0.1994925292973163,0.17917342711980996,-0.38295923806608023,0.704617977142334,0.8440486192703247,0.6276074051856995,0.26233384013175964,0.5332123041152954,0.08652260154485703,-0.15056803678355213,-0.008444699850865546,-0.36824871518771596,0.6750719547271729,0.7306227087974548,0.6175566911697388,0.3343231976032257,0.42710813879966736,0.23338498175144196,-0.19438417606713246,0.4380733751664272,-0.4023205262705249,0.6448743939399719,0.8029045462608337,0.5220867991447449,0.25659260153770447,0.4534602463245392,0.0957832932472229,-0.16034977441134088,0.8196573542588531,-0.3537905405367608,0.6977995038032532,0.8764151930809021,0.5448001027107239,0.2595812678337097,0.5317464470863342,0.1504925787448883
H19,-0.0812822118751063,0.34810753998777394,-0.17865659006448348,0.7617819905281067,0.8337581753730774,0.673090398311615,0.33255869150161743,0.4496642053127289,0.24993614852428436,0.10527820603936895,0.23636949501483165,-0.13244796936384215,0.7095610499382019,0.844074547290802,0.6586278080940247,0.40450194478034973,0.4995056688785553,0.37223049998283386,0.04032942953262498,0.22064145054117246,-0.15034309588443134,0.7345045208930969,0.7875940203666687,0.6790060997009277,0.43449997901916504,0.5882809162139893,0.31678783893585205,-0.11975787288183026,0.5110403532537744,-0.3045332611110764,0.7319543361663818,0.8333859443664551,0.6736701130867004,0.2996174693107605,0.5908490419387817,0.21807436645030975
H20,-0.1473958123321582,-0.04840772769841781,-0.21100180263542567,0.723103940486908,0.8000003695487976,0.637527585029602,0.2961243689060211,0.3927260935306549,0.1950855553150177,-0.0653862819885579,0.4574092534542465,-0.36850971813354716,0.7426352500915527,0.8204327821731567,0.6488966345787048,0.38696733117103577,0.6865075826644897,0.1919689178466797,0.01576602742786541,0.17475908826246833,-0.1956576007125706,0.736118495464325,0.779933750629425,0.7016128897666931,0.35520052909851074,0.47499319911003113,0.2488008439540863,-0.09384874622798106,-0.00920624961534692,-0.23451388123034464,0.7050709128379822,0.7898178100585938,0.5865678787231445,0.29348671436309814,0.4354715347290039,0.20894193649291992
